,name,id,text,retweet_count,like_count,created_at
49,nytimes,1599052984268345345,"The Torch hotel outside Khalifa Stadium had a message on its side Saturday sending well wishes to Pelé, the three-time World Cup winner from Brazil who has been battling cancer. A Brazilian newspaper reported that Pelé had been moved to palliative care. https://t.co/R29lydDhod https://t.co/7IEHvMI5FD",336,1867,2022-12-03 14:48:35+00:00
50,nytimes,1599051094663086082,"A Texas man was arrested on Friday on a federal charge that he left a voice mail message in which he threatened to kill a Boston doctor who provides care to gender nonconforming children, the authorities said. https://t.co/dPXcYettXn",112,384,2022-12-03 14:41:04+00:00
51,nytimes,1599050225036967936,"A widow is putting a 400-year-old emerald ring, valued between $50,000 and $70,000, up for auction at Sotheby’s next week. All proceeds will be donated to support humanitarian efforts in Ukraine. https://t.co/xgFUHz4G8p",179,1269,2022-12-03 14:37:37+00:00
52,nytimes,1599047064649957378,"Chinese government propaganda fanned fears about Covid to justify large-scale quarantines, frequent mass testing and the tracking of more than a billion people. Now, as the authorities shift their approach to the pandemic, they are downplaying those fears. https://t.co/IQkNDDFe8n",58,199,2022-12-03 14:25:03+00:00
53,nytimes,1599043300140384258,From @TheAthleticFC: Who is the best-dressed manager at the #FIFAWorldCup? Come with us as we bring you a rundown of the fashion on show. https://t.co/Bu1FEc6PT3 https://t.co/IOFBdAmGAx,48,243,2022-12-03 14:10:06+00:00
54,nytimes,1599039507533365248,"Photos from World Cup games have captured magical goals, phantom fouls and the heartbreak of teams being eliminated. 

To make those photos even more interesting, we’ve removed the ball. See if you can guess where it was. https://t.co/1xvmn6oTqz",39,160,2022-12-03 13:55:01+00:00
55,nytimes,1599035751513165829,"Three weeks after the fatal stabbings of four University of Idaho students, there is little indication that the police are closer to making an arrest. Many students refused to come back to campus after Thanksgiving, and some classrooms now sit half empty. https://t.co/3hlQH4q6GY",71,237,2022-12-03 13:40:06+00:00
56,nytimes,1599035747662708737,"Medical professionals have warned about the cardiac risks the holidays carry for decades. Doctors even gave a name to the toll of celebratory binge drinking: holiday heart syndrome. Here’s what to know about the condition, and how to lower your risk. https://t.co/gxMTOBgXga",46,139,2022-12-03 13:40:05+00:00
57,nytimes,1599031962693505024,The U.S. will face the Netherlands in the World Cup round of 16 today. Here's how to watch the game. https://t.co/ENwlXiyGrM,24,194,2022-12-03 13:25:03+00:00
58,nytimes,1599029464616390656,Try these quick and easy breakfast recipes that you can prepare in 5 to 10 minutes. https://t.co/QqWH1PudjL https://t.co/E6kQW9pT0G,52,443,2022-12-03 13:15:07+00:00
59,nytimes,1599020644716498945,"RT @charlie_savage: What is a ""Trump judge?""
w/ @alanfeuer 
https://t.co/STh6dAzTuu",19,0,2022-12-03 12:40:04+00:00
